image_path,disaster_type,disaster_idx,severity,severity_idx,score,combined_label,combined_idx
../data/raw/AIDER/flooded_areas/flood_image0002.jpg,flood,0,mild,0,0.3785,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0016.jpg,flood,0,severe,2,0.6746,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0200.jpg,flood,0,moderate,1,0.6683,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0214.jpg,flood,0,mild,0,0.5622,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0228.jpg,flood,0,severe,2,0.6756,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0374.jpg,flood,0,moderate,1,0.628,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0412.jpg,flood,0,moderate,1,0.652,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0406.jpg,flood,0,moderate,1,0.6241,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0360.jpg,flood,0,moderate,1,0.6252,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0348.jpg,flood,0,moderate,1,0.6524,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0176.jpg,flood,0,moderate,1,0.6686,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0162.jpg,flood,0,moderate,1,0.6322,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0189.jpg,flood,0,moderate,1,0.6072,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0188.jpg,flood,0,moderate,1,0.6081,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0163.jpg,flood,0,moderate,1,0.6395,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0177.jpg,flood,0,moderate,1,0.6564,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0349.jpg,flood,0,moderate,1,0.6313,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0407.jpg,flood,0,moderate,1,0.6504,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0361.jpg,flood,0,mild,0,0.5673,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0375.jpg,flood,0,severe,2,0.6961,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0413.jpg,flood,0,moderate,1,0.6619,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0229.jpg,flood,0,severe,2,0.6941,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0215.jpg,flood,0,moderate,1,0.6384,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0201.jpg,flood,0,moderate,1,0.6402,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0017.jpg,flood,0,severe,2,0.677,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0003.jpg,flood,0,moderate,1,0.6472,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0015.jpg,flood,0,moderate,1,0.6296,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0001.jpg,flood,0,moderate,1,0.6324,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0029.jpg,flood,0,mild,0,0.5985,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0217.jpg,flood,0,mild,0,0.535,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0203.jpg,flood,0,moderate,1,0.6238,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0363.jpg,flood,0,moderate,1,0.6639,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0405.jpg,flood,0,severe,2,0.6755,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0411.jpg,flood,0,severe,2,0.6767,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0377.jpg,flood,0,severe,2,0.6785,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0439.jpg,flood,0,mild,0,0.5873,flood_mild,0
../data/raw/AIDER/flooded_areas/flood_image0388.jpg,flood,0,moderate,1,0.6407,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0161.jpg,flood,0,severe,2,0.6984,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0175.jpg,flood,0,severe,2,0.6741,flood_severe,2
../data/raw/AIDER/flooded_areas/flood_image0149.jpg,flood,0,moderate,1,0.6671,flood_moderate,1
../data/raw/AIDER/flooded_areas/flood_image0148.jpg,flood,0,severe,2,0.6866,flood_severe,2
